"key","de","en"
"Anti Leaf_Name","Anti Blatt","Anti Leaf",
"Anti Leaf_Description","Ein Blatt, welches als Gegengift verwendet wird","This leaf is used for making an antidot",
"Anti Potions_Name","Anti Pulver","Anti Powder",
"Anti Potions_Description","Das Pulver von gemahlenen Anti Blättern","The powder of Anti Leafs",
"Arrows_Name","Pfeile","Arrows",
"Arrows_Description","Pfeile aus echtem Holz mit einer Metallspitze","Arrows made out of wood with a tip of metal",
"Arrows_Name","5 Pfeile","5 Arrows",
"Arrows_Description","Fünf brand neue Pfeile für den Bogen","Five brand new arrows for your bow",
"Bombs_Name","Bomben","Bombs",
"Bombs_Description","Ein zeitgezündeter Sprengsatz","A time-controlled explosive",
"Bomb_Name","Eine Bombe","One Bomb",
"Bomb_Description","Eine Bombe","One bomb",
"Coins_Name","Münzen","Coins",
"Coins_Description","Goldene Münzen, die für besondere Dienstleistungen eingetauscht werden","Golden coins which can be traded for special services",
"Golden Coin_Name","Münze","Coin",
"Golden Coin_Description","Eine goldene Münze.
Man kann sie bei besonderen Shops eintauschen.","A golden coin.
You can trade it in special shops.",
"Crystals_Name","Kristalle","Crystals",
"Crystals_Description","Das gänige Zahlungsmittel dieser Welt","The common currency of this world",
"Crystal Blue_Name","Blauer Kristall","Blue Crystal",
"Crystal Blue_Description","Ein blau funkelnder Kristall. 
Sein Wert entspricht dem von 5 Kristallen.","A blue glittering crystal. 
Its value is 5 times higher than a normal crystal.",
"Crystal Green_Name","Grüner Kristall","Green Crystal",
"Crystal Green_Description","Ein grüner Kristall.
Dient als Währung.","A green crystal.
Common currency.",
"Crystal Red_Name","Roter Kristall","Red Crystal",
"Crystal Red_Description","Ein rot leuchtender Kristall. 
Sein Wert entspricht dem von 10 Kristallen.","A shining red crystal. 
Its value is 10 times higher than a normal crystal.",
"Divine Feather_Name","Heilige Feder","Devine Feather",
"Divine Feather_Description","Die Feder eines gefallenen Engels. Es verhindert den Tod.","A feather of an fallen angel. It can avoid death.",
"Elder Stones_Name","Uralte Steine","Elder Stones",
"Elder Stones_Description","Von diesen Steinen geht eine immense Kraft aus","This stones contains an incredible power",
"Elder Stone_Name","Uralter Stein","Elder Stone",
"Elder Stone_Description","Ein Frakment aus purer Energie.
Seine Reinheit lässt dich stärker werden.","A fragment of pure energy.
Its purity can make you stronger.",
"Health Potions_Name","Lebenselixiere","Health Potions",
"Health Potions_Description","Flaschen mit Lebenselixieren","Health Potions",
"Health Potion_Name","Lebenselixier","Health Potion",
"Health Potion_Description","Eine Flasche Lebenselixier","Health Potion",
"Keys_Name","Schlüssel","Keys",
"Keys_Description","Magische Schlüssel, mit denen viele Schlösser geöffnet werden","Magical keys for opening almost all locks",
"Key_Name","Schlüssel","Key",
"Key_Description","Ein kleiner Schlüssel. Damit können die meisten Truhen geöffnet werden.","A small key. It openes the most treasure chests.",
"Mana Potions_Name","Manaelixiere","Mana Potions",
"Mana Potions_Description","Flaschen mit Manaelixieren","Mana Potions",
"Mana Potion_Name","Manaelixier","Mana Potion",
"Mana Potion_Description","Eine Flasche Manaelixier","Mana Potion",
"Map_Name","Karte","Map",
"Map_Description","Öffnet die Karte","Opens map",
"Small Health Potion_Name","Kleiner Lebenstrank","Small Health Potion",
"Small Health Potion_Description","Stellt die Gesundheit ein kleines Stück her","Restores health a little bit",
"Small Mana Potion_Name","Kleiner Manatrank","Small Mana Potion",
"Small Mana Potion_Description","Stellt Mana ein kleines Stück her","Restores mana a little bit",
"Spell Book_Name","Zauberbuch","Spell Book",
"Spell Book_Description","Öffnet das Fähigkeiten-Menü","Opens skill menu",
"Stone Plates_Name","Steintafeln","Stone Plates",
"Stone Plates_Description","Öffnet das Attribute-Menü","Opens attribute menu",
"Time Shard_Name","Zeitsplitter","Time Shard",
"Time Shard_Description","Ein fraktaler Zeitsplitter","A fractal time shard",
"Time Shards_Name","Zeitsplitter","Time Shards",
"Time Shards_Description","Zeitsplitter, welche zur Beschwörung einer temporalen Stase verwendet werden.","Time shards are used for summoning a temporal stasis.",
"Titanias Treasure_Name","Titanias Schatz","Titanias Treasure",
"Titanias Treasure_Description","Ein merkwürdiger Stein","A weird stone",
"Amulette_Name","Amulett der Außenseiter","Outsiders Amulette",
"Amulette_Description","Man könnte meinen, es würde zu dir flüstern...","It seems to wishper to you...",
"Elder Stone Pickup","Du hast einen Elder Stein erhalten. Damit lassen sich Attribute erhöhen.","You obtained an elder stone. You can increase your attributes with it.",
"Map Pickup","Du hast eine Karte erhalten!","You found a map!",
"Stone Plates Pickup","Du hast uralte Steinplatten gefunden! Mit den richtigen Steinen lassen sich deine Attribute erhöhen.","You found ancient stone plates! If you found the right stones, you can increase your attributes.",
"Skill Book Pickup","Du hast ein verstaubtes Buch gefunden. Vielleicht steht was interessantes drin?","You found a dusty book. Maybe something interesting may be written in it?",
"Amulette Pickup","Du hast ein merkwürdiges Amulette gefunden. Es scheint nicht von hier zu sein...","You found a weird amulette. It doesnt seem to be from here...",
"Sword Pickup","Du hast ein Schwert erhalten!","You found a sword!",
"Sword_Name","Schwert","Sword",